id,intent,tone,conf
53231,SocialFragility,Alarmist,0.45745153000446576
53021,Economic,Cynical,0.30838226548440234
53020,Economic,Cynical,0.30838226548440234
53016,Economic,Cynical,0.30838226548440234
53017,Economic,Cynical,0.29493915751591365
53451,SocialFragility,Alarmist,0.35953748460312157
53452,Economic,Sensationalist,0.3368840557781018
53284,Other,neutral,0.0
53285,SocialFragility,Alarmist,0.40123954138574286
53286,Economic,Alarmist,0.4030239027965766
53287,SocialFragility,Factual,0.6989557206917902
53288,SocialFragility,Cynical,0.33937111241862294
53289,SocialFragility,Sensationalist,0.3338876985989505
53290,SocialFragility,Sensationalist,0.5956177697324736
53011,SocialFragility,Alarmist,0.3464091329705558
53012,Economic,Cynical,0.30838226548440234
53022,Economic,Cynical,0.30838226548440234
53348,SocialFragility,Alarmist,0.38696489268424933
53023,Economic,Cynical,0.30838226548440234
53347,SocialFragility,Alarmist,0.37201932849474667
53024,Economic,Cynical,0.30838226548440234
53045,SocialFragility,Sensationalist,0.5754073555803347
53350,Economic,Sensationalist,0.3049412943208064
53462,Economic,Factual,0.4026716351509094
53461,SocialFragility,Sensationalist,0.3249565718725061
53460,Economic,Sensationalist,0.3491230607032776
53459,SocialFragility,Sensationalist,0.48639150189540403
53458,Economic,Cynical,0.3327322295948506
53457,Economic,Sensationalist,0.3511027606844374
53456,SocialFragility,Sensationalist,0.7754095630910767
53455,SocialFragility,Sensationalist,0.727893933177202
53454,Economic,Sensationalist,0.37872153520584106
53191,Economic,Factual,0.8853274199162743
53453,Economic,Cynical,0.34736084938049316
53291,SocialFragility,Sensationalist,0.3972495198249817
53292,SocialFragility,Factual,0.5376231747924236
53349,Economic,Cynical,0.3318585547897415
53236,Economic,Cynical,0.3494042765017308
53235,Economic,Cynical,0.37344804406166077
53297,SocialFragility,Factual,0.4571370107699703
53044,SocialFragility,Cynical,0.3344483638531749
53043,Other,neutral,0.0
53192,MilitaryPresence,Factual,0.9482911852734469
53193,MilitaryPresence,Factual,0.9482911852734469
53040,SocialFragility,Sensationalist,0.496018648147583
53041,Other,Sensationalist,0.459860887746679
53042,Other,Sensationalist,0.5105749338441485
53234,SocialFragility,Alarmist,0.4646182487988414
53194,MilitaryPresence,Factual,0.9482911852734469
53233,SocialFragility,Alarmist,0.32805262491996906
53232,SocialFragility,Alarmist,0.38970273407550704
